region_code,region_name,province,city_municipality,barangay,store_name,lat,lng,polygon_ref
NCR,National Capital Region,Metro Manila,Quezon City,Novaliches,San Agustin Store,14.7052,121.0248,ncr_quezon.geojson
NCR,National Capital Region,Metro Manila,Quezon City,Diliman,UP Campus Store,14.6507,121.0726,ncr_quezon.geojson
NCR,National Capital Region,Metro Manila,Quezon City,Diliman,Teacher's Village Mart,14.6532,121.0584,ncr_quezon.geojson
NCR,National Capital Region,Metro Manila,Quezon City,Cubao,P. Tuazon Corner Store,14.6177,121.0527,ncr_quezon.geojson
NCR,National Capital Region,Metro Manila,Quezon City,Cubao,Aurora Boulevard Store,14.6215,121.0565,ncr_quezon.geojson
NCR,National Capital Region,Metro Manila,Quezon City,Kamuning,Kamuning Road Store,14.6309,121.0307,ncr_quezon.geojson
NCR,National Capital Region,Metro Manila,Quezon City,Loyola Heights,Katipunan Store,14.6312,121.0742,ncr_quezon.geojson
NCR,National Capital Region,Metro Manila,Quezon City,Bagumbayan,Bagumbayan Store,14.6008,121.0938,ncr_quezon.geojson
NCR,National Capital Region,Metro Manila,Makati,Poblacion,Poblacion Market Store,14.5647,121.0322,ncr_makati.geojson
NCR,National Capital Region,Metro Manila,Makati,Poblacion,P. Burgos Store,14.5654,121.0315,ncr_makati.geojson
NCR,National Capital Region,Metro Manila,Makati,Guadalupe Viejo,Guadalupe Commercial,14.5673,121.0463,ncr_makati.geojson
NCR,National Capital Region,Metro Manila,Makati,Guadalupe Nuevo,JP Rizal Store,14.5645,121.0502,ncr_makati.geojson
NCR,National Capital Region,Metro Manila,Makati,Cembo,Cembo Market Store,14.5492,121.0593,ncr_makati.geojson
NCR,National Capital Region,Metro Manila,Makati,Pembo,Pembo Elementary Store,14.5432,121.0688,ncr_makati.geojson
NCR,National Capital Region,Metro Manila,Makati,Pitogo,Pitogo High Street Store,14.5412,121.0523,ncr_makati.geojson
NCR,National Capital Region,Metro Manila,Makati,Pio del Pilar,Pio del Pilar Store,14.5634,121.0102,ncr_makati.geojson
NCR,National Capital Region,Metro Manila,Caloocan,Grace Park,Grace Park Market,14.6528,120.9917,ncr_caloocan.geojson
NCR,National Capital Region,Metro Manila,Caloocan,Sangandaan,Sangandaan Store,14.6572,120.9689,ncr_caloocan.geojson
NCR,National Capital Region,Metro Manila,Caloocan,Deparo,Deparo Road Store,14.7503,121.0245,ncr_caloocan.geojson
NCR,National Capital Region,Metro Manila,Caloocan,Bagong Silang,Phase 1 Store,14.7734,121.0458,ncr_caloocan.geojson
NCR,National Capital Region,Metro Manila,Caloocan,Bagong Silang,Phase 8 Store,14.7788,121.0512,ncr_caloocan.geojson
NCR,National Capital Region,Metro Manila,Caloocan,Camarin,Camarin Road Store,14.7551,121.0438,ncr_caloocan.geojson
NCR,National Capital Region,Metro Manila,Pasig,Ortigas Center,Pearl Drive Store,14.5874,121.0614,ncr_pasig.geojson
NCR,National Capital Region,Metro Manila,Pasig,Ugong,Ugong Norte Store,14.5742,121.0683,ncr_pasig.geojson
NCR,National Capital Region,Metro Manila,Pasig,Rosario,Rosario Public Market,14.5901,121.0857,ncr_pasig.geojson
NCR,National Capital Region,Metro Manila,Pasig,Santolan,Santolan Station Store,14.6105,121.0862,ncr_pasig.geojson
NCR,National Capital Region,Metro Manila,Pasig,Manggahan,Amang Rodriguez Store,14.6012,121.0932,ncr_pasig.geojson
NCR,National Capital Region,Metro Manila,Taguig,Fort Bonifacio,BGC 32nd Street Store,14.5493,121.0542,ncr_taguig.geojson
NCR,National Capital Region,Metro Manila,Taguig,Signal Village,Signal Market Store,14.5312,121.0623,ncr_taguig.geojson
NCR,National Capital Region,Metro Manila,Taguig,Western Bicutan,Bicutan Market,14.4876,121.0498,ncr_taguig.geojson
NCR,National Capital Region,Metro Manila,Taguig,Bagumbayan,C5 Extension Store,14.5158,121.0723,ncr_taguig.geojson
NCR,National Capital Region,Metro Manila,Mandaluyong,Highway Hills,Highway Hills Store,14.5826,121.0481,ncr_mandaluyong.geojson
NCR,National Capital Region,Metro Manila,Mandaluyong,Wack-Wack,Wack-Wack Store,14.5887,121.0523,ncr_mandaluyong.geojson
NCR,National Capital Region,Metro Manila,Mandaluyong,Addition Hills,Addition Hills Center,14.5792,121.0445,ncr_mandaluyong.geojson
NCR,National Capital Region,Metro Manila,Mandaluyong,Poblacion,Poblacion Store,14.5778,121.0361,ncr_mandaluyong.geojson
CAR,Cordillera Administrative Region,Benguet,Baguio City,City Camp Proper,City Camp Central Store,16.4123,120.5960,car_baguio.geojson
CAR,Cordillera Administrative Region,Benguet,Baguio City,Bakakeng Central,Bakakeng Store,16.3934,120.6178,car_baguio.geojson
CAR,Cordillera Administrative Region,Benguet,Baguio City,Engineers Hill,Engineers Hill Store,16.4098,120.5876,car_baguio.geojson
CAR,Cordillera Administrative Region,Benguet,Baguio City,Pacdal,Pacdal Circle Store,16.4012,120.5745,car_baguio.geojson
CAR,Cordillera Administrative Region,Benguet,La Trinidad,Pico,Pico Sari-Sari,16.4478,120.5892,car_la_trinidad.geojson
CAR,Cordillera Administrative Region,Benguet,La Trinidad,Balili,Balili Store,16.4512,120.5912,car_la_trinidad.geojson
Region I,Ilocos Region,Ilocos Norte,Laoag City,Brgy 1 San Lorenzo,San Lorenzo Store,18.1987,120.5938,r1_laoag.geojson
Region I,Ilocos Region,Ilocos Norte,Laoag City,Brgy 2 Santa Joaquina,Santa Joaquina Mart,18.1975,120.5941,r1_laoag.geojson
Region I,Ilocos Region,Ilocos Sur,Vigan City,Barangay I,Plaza Burgos Store,17.5747,120.3869,r1_vigan.geojson
Region I,Ilocos Region,Ilocos Sur,Vigan City,Barangay II,Calle Crisologo Store,17.5741,120.3882,r1_vigan.geojson
Region I,Ilocos Region,Pangasinan,Dagupan City,Poblacion Oeste,Dagupan Public Market Store,16.0433,120.3334,r1_dagupan.geojson
Region I,Ilocos Region,Pangasinan,Dagupan City,Pantal,Pantal Central Store,16.0512,120.3498,r1_dagupan.geojson
Region I,Ilocos Region,Pangasinan,San Carlos City,Poblacion,San Carlos Market,15.9279,120.3489,r1_san_carlos.geojson
Region I,Ilocos Region,La Union,San Fernando City,Poro,Poro Point Store,16.6159,120.3010,r1_san_fernando.geojson
Region I,Ilocos Region,La Union,San Fernando City,Catbangen,Catbangen Store,16.6208,120.3156,r1_san_fernando.geojson
Region II,Cagayan Valley,Cagayan,Tuguegarao City,Centro 1,Centro Market Store,17.6132,121.7270,r2_tuguegarao.geojson
Region II,Cagayan Valley,Cagayan,Tuguegarao City,Pengue,Pengue-Ruyu Store,17.6189,121.7312,r2_tuguegarao.geojson
Region II,Cagayan Valley,Isabela,Ilagan City,Poblacion,Ilagan Public Market,17.1483,121.8892,r2_ilagan.geojson
Region II,Cagayan Valley,Isabela,Cauayan City,District 1,Cauayan Market,16.9298,121.7759,r2_cauayan.geojson
Region II,Cagayan Valley,Nueva Vizcaya,Bayombong,Poblacion,Bayombong Central,16.4812,121.1498,r2_bayombong.geojson
Region III,Central Luzon,Pampanga,Angeles City,Balibago,Balibago Market Store,15.1665,120.5887,r3_angeles.geojson
Region III,Central Luzon,Pampanga,Angeles City,Amsic,Amsic Junction Store,15.1472,120.5963,r3_angeles.geojson
Region III,Central Luzon,Pampanga,Angeles City,Mining,Mining Store,15.1523,120.5541,r3_angeles.geojson
Region III,Central Luzon,Pampanga,San Fernando,Del Pilar,Del Pilar Store,15.0286,120.6556,r3_san_fernando.geojson
Region III,Central Luzon,Pampanga,San Fernando,Dolores,Dolores Public Market,15.0342,120.6745,r3_san_fernando.geojson
Region III,Central Luzon,Pampanga,San Fernando,Juliana,Juliana Village Store,15.0498,120.6523,r3_san_fernando.geojson
Region III,Central Luzon,Pampanga,Mabalacat,Dau,Dau Bus Terminal Store,15.1759,120.5894,r3_mabalacat.geojson
Region III,Central Luzon,Pampanga,Mabalacat,Mabiga,Mabiga Public Market,15.2234,120.5712,r3_mabalacat.geojson
Region III,Central Luzon,Bulacan,Malolos,Tikay,Tikay Store,14.8434,120.8134,r3_malolos.geojson
Region III,Central Luzon,Bulacan,Malolos,Longos,Longos Public Market,14.8687,120.8234,r3_malolos.geojson
Region III,Central Luzon,Bulacan,Meycauayan,Banga,Banga Market,14.7332,120.9628,r3_meycauayan.geojson
Region III,Central Luzon,Bulacan,Meycauayan,Malhacan,Malhacan Store,14.7241,120.9812,r3_meycauayan.geojson
Region III,Central Luzon,Bulacan,San Jose del Monte,Tungkong Mangga,Tungkong Mangga Store,14.8139,121.0456,r3_sjdm.geojson
Region III,Central Luzon,Bulacan,San Jose del Monte,Muzon,Muzon Public Market,14.8343,121.0234,r3_sjdm.geojson
Region III,Central Luzon,Nueva Ecija,Cabanatuan City,Poblacion,Cabanatuan Public Market,15.4869,120.9697,r3_cabanatuan.geojson
Region III,Central Luzon,Nueva Ecija,Gapan City,Poblacion,Gapan Market,15.3081,120.9456,r3_gapan.geojson
Region III,Central Luzon,Tarlac,Tarlac City,San Nicolas,San Nicolas Store,15.4804,120.5969,r3_tarlac.geojson
Region III,Central Luzon,Tarlac,Tarlac City,Matatalaib,Matatalaib Store,15.4923,120.5893,r3_tarlac.geojson
Region III,Central Luzon,Zambales,Olongapo City,East Tapinac,East Tapinac Store,14.8394,120.2844,r3_olongapo.geojson
Region III,Central Luzon,Zambales,Olongapo City,West Bajac-Bajac,West Bajac Store,14.8251,120.2798,r3_olongapo.geojson
Region III,Central Luzon,Bataan,Balanga City,Poblacion,Balanga Public Market,14.6767,120.5361,r3_balanga.geojson
Region III,Central Luzon,Aurora,Baler,Poblacion,Baler Public Market,15.7596,121.5612,r3_baler.geojson
Region IV-A,CALABARZON,Cavite,Cavite City,Poblacion,Cavite City Market,14.4791,120.8969,r4a_cavite.geojson
Region IV-A,CALABARZON,Cavite,Cavite City,San Roque,San Roque Store,14.4825,120.9012,r4a_cavite.geojson
Region IV-A,CALABARZON,Cavite,Tagaytay City,Kaybagal South,Kaybagal Store,14.1078,120.9623,r4a_tagaytay.geojson
Region IV-A,CALABARZON,Cavite,Tagaytay City,Mendez Crossing East,Mendez Crossing Store,14.1189,120.9234,r4a_tagaytay.geojson
Region IV-A,CALABARZON,Cavite,Dasmariñas,Poblacion,Dasma Public Market,14.3294,120.9366,r4a_dasmarinas.geojson
Region IV-A,CALABARZON,Cavite,Dasmariñas,Salawag,Salawag Store,14.3212,120.9543,r4a_dasmarinas.geojson
Region IV-A,CALABARZON,Cavite,Imus,Poblacion,Imus Public Market,14.4297,120.9366,r4a_imus.geojson
Region IV-A,CALABARZON,Cavite,Imus,Alapan,Alapan Market,14.4012,120.9398,r4a_imus.geojson
Region IV-A,CALABARZON,Cavite,Bacoor,Poblacion,Bacoor Public Market,14.4582,120.9742,r4a_bacoor.geojson
Region IV-A,CALABARZON,Cavite,Bacoor,Molino,Molino Store,14.3815,120.9894,r4a_bacoor.geojson
Region IV-A,CALABARZON,Cavite,General Trias,Poblacion,GenTri Market,14.3869,120.8822,r4a_gentrias.geojson
Region IV-A,CALABARZON,Laguna,Biñan,Poblacion,Biñan Public Market,14.3339,121.0809,r4a_binan.geojson
Region IV-A,CALABARZON,Laguna,Biñan,Santo Niño,Santo Niño Store,14.3412,121.0723,r4a_binan.geojson
Region IV-A,CALABARZON,Laguna,Santa Rosa,Poblacion,Santa Rosa Market,14.3123,121.1115,r4a_santarosa.geojson
Region IV-A,CALABARZON,Laguna,Santa Rosa,Balibago,Balibago Complex Store,14.2956,121.1078,r4a_santarosa.geojson
Region IV-A,CALABARZON,Laguna,Calamba,Poblacion,Calamba Market,14.2115,121.1653,r4a_calamba.geojson
Region IV-A,CALABARZON,Laguna,Calamba,Real,Real Crossing Store,14.2078,121.1523,r4a_calamba.geojson
Region IV-A,CALABARZON,Laguna,San Pedro,Poblacion,San Pedro Market,14.3595,121.0157,r4a_sanpedro.geojson
Region IV-A,CALABARZON,Laguna,Los Baños,Batong Malake,Batong Malake Store,14.1650,121.2414,r4a_losbanos.geojson
Region IV-A,CALABARZON,Laguna,San Pablo,Poblacion,San Pablo Market,14.0697,121.3254,r4a_sanpablo.geojson
Region IV-A,CALABARZON,Batangas,Batangas City,Poblacion,Batangas Public Market,13.7567,121.0584,r4a_batangas.geojson
Region IV-A,CALABARZON,Batangas,Lipa City,Poblacion,Lipa Public Market,13.9411,121.1643,r4a_lipa.geojson
Region IV-A,CALABARZON,Batangas,Tanauan City,Poblacion,Tanauan Market,14.0869,121.1497,r4a_tanauan.geojson
Region IV-A,CALABARZON,Rizal,Antipolo City,Poblacion,Antipolo Market,14.5886,121.1763,r4a_antipolo.geojson
Region IV-A,CALABARZON,Rizal,Cainta,Poblacion,Cainta Public Market,14.5786,121.1222,r4a_cainta.geojson
Region IV-A,CALABARZON,Quezon,Lucena City,Poblacion,Lucena Market,13.9414,121.6177,r4a_lucena.geojson
Region IV-B,MIMAROPA,Oriental Mindoro,Calapan City,Poblacion,Calapan Market,13.4117,121.1803,r4b_calapan.geojson
Region IV-B,MIMAROPA,Occidental Mindoro,San Jose,Poblacion,San Jose Market,12.3528,121.0678,r4b_sanjose.geojson
Region IV-B,MIMAROPA,Palawan,Puerto Princesa,Poblacion,Puerto Princesa Market,9.7392,118.7353,r4b_puerto.geojson
Region V,Bicol Region,Albay,Legazpi City,Poblacion,Legazpi Market,13.1391,123.7438,r5_legazpi.geojson
Region V,Bicol Region,Camarines Sur,Naga City,Poblacion,Naga Market,13.6192,123.1814,r5_naga.geojson
Region V,Bicol Region,Camarines Norte,Daet,Poblacion,Daet Market,14.1122,122.9553,r5_daet.geojson
Region V,Bicol Region,Sorsogon,Sorsogon City,Poblacion,Sorsogon Market,12.9742,124.0047,r5_sorsogon.geojson
Region VI,Western Visayas,Iloilo,Iloilo City,City Proper,Iloilo Central Market,10.6920,122.5691,r6_iloilo.geojson
Region VI,Western Visayas,Iloilo,Iloilo City,Jaro,Jaro Plaza Store,10.7202,122.5606,r6_iloilo.geojson
Region VI,Western Visayas,Iloilo,Iloilo City,La Paz,La Paz Public Market,10.7105,122.5707,r6_iloilo.geojson
Region VI,Western Visayas,Iloilo,Iloilo City,Mandurriao,Mandurriao Store,10.6965,122.5415,r6_iloilo.geojson
Region VI,Western Visayas,Iloilo,Iloilo City,Molo,Molo Plaza Store,10.6988,122.5453,r6_iloilo.geojson
Region VI,Western Visayas,Iloilo,Passi City,Poblacion,Passi Public Market,11.1078,122.9686,r6_passi.geojson
Region VI,Western Visayas,Negros Occidental,Bacolod City,Poblacion,Bacolod Public Market,10.6771,122.9514,r6_bacolod.geojson
Region VI,Western Visayas,Negros Occidental,Bacolod City,Villamonte,Villamonte Store,10.6534,122.9389,r6_bacolod.geojson
Region VI,Western Visayas,Negros Occidental,Bacolod City,Singcang-Airport,Airport Store,10.6433,122.9298,r6_bacolod.geojson
Region VI,Western Visayas,Negros Occidental,Bacolod City,Mandalagan,Mandalagan Store,10.6898,122.9587,r6_bacolod.geojson
Region VI,Western Visayas,Aklan,Kalibo,Poblacion,Kalibo Market,11.7074,122.3675,r6_kalibo.geojson
Region VI,Western Visayas,Capiz,Roxas City,Poblacion,Roxas City Market,11.5829,122.7511,r6_roxas.geojson
Region VI,Western Visayas,Antique,San Jose de Buenavista,Poblacion,San Jose Market,10.7560,121.9388,r6_sanjose.geojson
Region VII,Central Visayas,Cebu,Cebu City,Lahug,Lahug IT Park Store,10.3296,123.8987,r7_cebu.geojson
Region VII,Central Visayas,Cebu,Cebu City,Lahug,JY Square Store,10.3312,123.8976,r7_cebu.geojson
Region VII,Central Visayas,Cebu,Cebu City,Banilad,Banilad Town Center Store,10.3458,123.9123,r7_cebu.geojson
Region VII,Central Visayas,Cebu,Cebu City,Guadalupe,Guadalupe Store,10.3216,123.8872,r7_cebu.geojson
Region VII,Central Visayas,Cebu,Cebu City,Talamban,Talamban Store,10.3689,123.9134,r7_cebu.geojson
Region VII,Central Visayas,Cebu,Cebu City,Mabolo,Mabolo Store,10.3221,123.9089,r7_cebu.geojson
Region VII,Central Visayas,Cebu,Cebu City,Capitol Site,Capitol Store,10.3174,123.8908,r7_cebu.geojson
Region VII,Central Visayas,Cebu,Cebu City,Sambag II,Sambag Store,10.3089,123.8956,r7_cebu.geojson
Region VII,Central Visayas,Cebu,Mandaue City,Centro,Mandaue Public Market,10.3237,123.9222,r7_mandaue.geojson
Region VII,Central Visayas,Cebu,Mandaue City,Tipolo,Tipolo Store,10.3098,123.9498,r7_mandaue.geojson
Region VII,Central Visayas,Cebu,Mandaue City,Guizo,Guizo Store,10.3189,123.9345,r7_mandaue.geojson
Region VII,Central Visayas,Cebu,Mandaue City,Subangdaku,Subangdaku Store,10.3345,123.9267,r7_mandaue.geojson
Region VII,Central Visayas,Cebu,Lapu-Lapu City,Poblacion,Lapu-Lapu Market,10.3105,123.9494,r7_lapulapu.geojson
Region VII,Central Visayas,Cebu,Lapu-Lapu City,Basak,Basak Store,10.2741,123.9548,r7_lapulapu.geojson
Region VII,Central Visayas,Cebu,Lapu-Lapu City,Mactan,Mactan Store,10.2891,124.0123,r7_lapulapu.geojson
Region VII,Central Visayas,Cebu,Lapu-Lapu City,Maribago,Maribago Store,10.2956,123.9978,r7_lapulapu.geojson
Region VII,Central Visayas,Cebu,Talisay City,Poblacion,Talisay Market,10.2448,123.8493,r7_talisay.geojson
Region VII,Central Visayas,Bohol,Tagbilaran City,Poblacion,Tagbilaran Market,9.6501,123.8538,r7_tagbilaran.geojson
Region VII,Central Visayas,Siquijor,Siquijor,Poblacion,Siquijor Market,9.2148,123.5148,r7_siquijor.geojson
Region VII,Central Visayas,Negros Oriental,Dumaguete City,Poblacion,Dumaguete Market,9.3068,123.3054,r7_dumaguete.geojson
Region VIII,Eastern Visayas,Leyte,Tacloban City,Poblacion,Tacloban Market,11.2444,125.0039,r8_tacloban.geojson
Region VIII,Eastern Visayas,Leyte,Ormoc City,Poblacion,Ormoc Market,11.0064,124.6075,r8_ormoc.geojson
Region VIII,Eastern Visayas,Southern Leyte,Maasin City,Poblacion,Maasin Market,10.1323,124.8401,r8_maasin.geojson
Region VIII,Eastern Visayas,Samar,Catbalogan City,Poblacion,Catbalogan Market,11.7747,124.8848,r8_catbalogan.geojson
Region VIII,Eastern Visayas,Eastern Samar,Borongan City,Poblacion,Borongan Market,11.6089,125.4323,r8_borongan.geojson
Region IX,Zamboanga Peninsula,Zamboanga del Sur,Pagadian City,Poblacion,Pagadian Market,7.8282,123.4372,r9_pagadian.geojson
Region IX,Zamboanga Peninsula,Zamboanga City,Zamboanga City,Poblacion,Zamboanga Market,6.9101,122.0742,r9_zamboanga.geojson
Region IX,Zamboanga Peninsula,Zamboanga del Norte,Dipolog City,Poblacion,Dipolog Market,8.5889,123.3418,r9_dipolog.geojson
Region X,Northern Mindanao,Misamis Oriental,Cagayan de Oro City,Divisoria,Divisoria Market,8.4822,124.6498,r10_cdo.geojson
Region X,Northern Mindanao,Misamis Oriental,Cagayan de Oro City,Carmen,Carmen Market,8.4795,124.6567,r10_cdo.geojson
Region X,Northern Mindanao,Misamis Oriental,Cagayan de Oro City,Lapasan,Lapasan Store,8.4567,124.6234,r10_cdo.geojson
Region X,Northern Mindanao,Misamis Oriental,Cagayan de Oro City,Kauswagan,Kauswagan Store,8.4987,124.6745,r10_cdo.geojson
Region X,Northern Mindanao,Misamis Occidental,Ozamiz City,Poblacion,Ozamiz Market,8.1461,123.8414,r10_ozamiz.geojson
Region X,Northern Mindanao,Bukidnon,Malaybalay City,Poblacion,Malaybalay Market,8.1575,125.1265,r10_malaybalay.geojson
Region X,Northern Mindanao,Camiguin,Mambajao,Poblacion,Mambajao Market,9.2523,124.7213,r10_mambajao.geojson
Region X,Northern Mindanao,Lanao del Norte,Iligan City,Poblacion,Iligan Market,8.2280,124.2452,r10_iligan.geojson
Region XI,Davao Region,Davao del Sur,Davao City,Poblacion,Bankerohan Market,7.0677,125.6073,r11_davao.geojson
Region XI,Davao Region,Davao del Sur,Davao City,Agdao,Agdao Public Market,7.0823,125.6234,r11_davao.geojson
Region XI,Davao Region,Davao del Sur,Davao City,Buhangin,Buhangin Store,7.1234,125.6456,r11_davao.geojson
Region XI,Davao Region,Davao del Sur,Davao City,Sasa,Sasa Store,7.1123,125.6567,r11_davao.geojson
Region XI,Davao Region,Davao del Sur,Davao City,Toril,Toril Public Market,7.0145,125.4912,r11_davao.geojson
Region XI,Davao Region,Davao del Sur,Davao City,Calinan,Calinan Market,7.1892,125.4534,r11_davao.geojson
Region XI,Davao Region,Davao del Sur,Davao City,Bunawan,Bunawan Store,7.0989,125.5123,r11_davao.geojson
Region XI,Davao Region,Davao del Sur,Davao City,Talomo,Talomo Store,7.0456,125.5678,r11_davao.geojson
Region XI,Davao Region,Davao del Sur,Digos City,Poblacion,Digos Market,6.7497,125.3572,r11_digos.geojson
Region XI,Davao Region,Davao del Norte,Tagum City,Poblacion,Tagum Market,7.4478,125.8076,r11_tagum.geojson
Region XI,Davao Region,Davao del Norte,Panabo City,Poblacion,Panabo Market,7.3073,125.6841,r11_panabo.geojson
Region XI,Davao Region,Davao Oriental,Mati City,Poblacion,Mati Market,6.9550,126.2164,r11_mati.geojson
Region XI,Davao Region,Davao de Oro,Nabunturan,Poblacion,Nabunturan Market,7.6089,125.9661,r11_nabunturan.geojson
Region XII,SOCCSKSARGEN,South Cotabato,General Santos City,Poblacion,GenSan Market,6.1108,125.1716,r12_gensan.geojson
Region XII,SOCCSKSARGEN,South Cotabato,General Santos City,Calumpang,Calumpang Store,6.1234,125.1823,r12_gensan.geojson
Region XII,SOCCSKSARGEN,South Cotabato,General Santos City,Dadiangas,Dadiangas Store,6.1012,125.1645,r12_gensan.geojson
Region XII,SOCCSKSARGEN,South Cotabato,Koronadal City,Poblacion,Koronadal Market,6.5022,124.8472,r12_koronadal.geojson
Region XII,SOCCSKSARGEN,Sultan Kudarat,Tacurong City,Poblacion,Tacurong Market,6.6925,124.6758,r12_tacurong.geojson
Region XII,SOCCSKSARGEN,Cotabato,Kidapawan City,Poblacion,Kidapawan Market,7.0083,125.0894,r12_kidapawan.geojson
Region XIII,Caraga,Agusan del Norte,Butuan City,Poblacion,Butuan Market,8.9475,125.5406,r13_butuan.geojson
Region XIII,Caraga,Agusan del Sur,Prosperidad,Poblacion,Prosperidad Market,8.6050,125.9095,r13_prosperidad.geojson
Region XIII,Caraga,Surigao del Norte,Surigao City,Poblacion,Surigao Market,9.7839,125.4891,r13_surigao.geojson
Region XIII,Caraga,Surigao del Sur,Tandag City,Poblacion,Tandag Market,9.0785,126.1996,r13_tandag.geojson
BARMM,Bangsamoro,Maguindanao,Cotabato City,Poblacion,Cotabato Market,7.2047,124.2312,barmm_cotabato.geojson
BARMM,Bangsamoro,Lanao del Sur,Marawi City,Poblacion,Marawi Market,7.9986,124.2928,barmm_marawi.geojson
BARMM,Bangsamoro,Basilan,Isabela City,Poblacion,Isabela Market,6.7043,121.9711,barmm_isabela.geojson
BARMM,Bangsamoro,Sulu,Jolo,Poblacion,Jolo Market,6.0527,121.0022,barmm_jolo.geojson
BARMM,Bangsamoro,Tawi-Tawi,Bongao,Poblacion,Bongao Market,5.0292,119.7731,barmm_bongao.geojson
